Nazwa | Skladniki | Cena
Margherita|Sos pomidorowy łagodny, Ser mozzarella, Oregano|25.50 
Funghi|Sos pomidorowy łagodny, Ser mozzarella, Pieczarki, Oregano|26.35 
Salami|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Salami|27.20 
Rustica|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Boczek|27.20 
Wegetariana|Sos pomidorowy łagodny, Ser mozzarella, Pieczarki, Oregano, Papryka, Kukurydza|27.20 
Capricciosa|Sos pomidorowy łagodny, Ser mozzarella, Pieczarki, Oregano, Papryka, Szynka|27.71 
Amore|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Kukurydza, Kurczak grillowany, Ananas|27.71 
Hawajska|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Szynka, Ananas, Brzoskwinie|27.71 
Wiejska|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Cebula, Kiełbasa, Ogórek kiszony|27.71 
Studencka|Sos pomidorowy łagodny, Ser mozzarella, Pieczarki, Oregano, Szynka, Wołowina|28.56 
Fantazja|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Papryka, Szynka, Wołowina|28.56 
Arabska|Sos pomidorowy łagodny, Ser mozzarella, Kapary, Oliwki zielone, Pomidor koktajlowy, Kurczak gyros, Sos 1000 wysp, Szpinak świeży|28.56 
Rafaello|Sos pomidorowy łagodny, Ser mozzarella, Pieczarki, Oregano, Szynka, Kurczak grillowany|28.56 
Pomodoro|Sos pomidorowy łagodny, Ser mozzarella, Pieczarki, Oregano, Szynka, Pomidor|28.56 
Frutti di mare|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Cebula, Owoce morza, Oliwki zielone|29.41 
Premium|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Salami, Boczek, Tuńczyk, Szynka|29.41 
Italiana|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Boczek, Cebula, Tuńczyk, Oliwki zielone|29.41 
Bartolini|Sos pomidorowy łagodny, Ser mozzarella, Pieczarki, Oregano, Kurczak grillowany, Wołowina, Pomidor|29.41 
Carbonara|Sos śmietanowy, Ser mozzarella, Pieczarki, Boczek, Cebula, Tymianek|29.41 
Espagnola|Sos pomidorowy pikantny, Ser mozzarella, Pieczarki, Oregano, Salami, Pomidor|29.41 
Kebab|Sos pomidorowy pikantny, Ser mozzarella, Oregano, Pomidor, Kapusta Pekińska, Kurczak gyros, Czerwona Cebula, Ogórek świeży, Sos gyros|29.41 
Meksykańska|Sos pomidorowy pikantny, Ser mozzarella, Oregano, Cebula, Kiełbasa, Papryka, Kukurydza, Fasola czerwona, Wołowina, Papryczki Jalapeno, Zielony pieprz|29.41 
Mięsna|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Szynka, Kurczak grillowany, Wołowina|29.41 
Góralska|Sos śmietanowy, Ser mozzarella, Oregano, Cebula, Kiełbasa, Kiełbasa Chorizo, Żurawina, Aromatyczny ser wędzony, Kiełbasa żywiecka|29.41 
Pepperoni|Sos pomidorowy pikantny, Ser mozzarella, Pieczarki, Oregano, Salami, Papryka|29.41 
Dracula|Sos pomidorowy pikantny, Ser mozzarella, Pieczarki, Oregano, Salami, Boczek, Cebula, Papryka, Szynka|29.41 
Maxi pizza|Sos pomidorowy łagodny, Ser mozzarella, do dziewięciu dowolnie wybranych składników|31.45 
Chorizo|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Pomidor koktajlowy, Czerwona Cebula, Zielony pieprz, Kiełbasa Chorizo|31.45 
Wino & rucola|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Boczek, Czosnek świeży, Rucola, Winogrono czerwone|31.45 
Pizza promocja|Sos pomidorowy łagodny, Ser mozzarella, Oregano, trzy dowolnie wybrane składniki|27.20 
Prosciutto&parmezan|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Rucola, Pomidor koktajlowy, Szynka parmeńska, Ser parmezan, Sos balsamiczny|31.45 
Spinaci|Sos śmietanowy, Ser mozzarella, Oregano, Szpinak liście, Ser pleśniowy lazur srebrzysty, Szynka parmeńska|31.45 
Prosciutto|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Rucola, Szynka parmeńska, Pomidor suszony|31.45 
Broccoli|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Boczek, Brokuly, Ser pleśniowy lazur srebrzysty|31.45 
Serowa|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Ser cheddar, Ser pleśniowy lazur srebrzysty|31.45 
Grecka|Sos śmietanowy, Ser mozzarella, Oregano, Oliwki czarne, Pomidor koktajlowy, Ser favita, Czerwona Cebula|31.45 
Toscana|Sos śmietanowy, Ser mozzarella, Oregano, Salami, Rucola, Pomidor suszony|31.45 
Pesto|Sos śmietanowy, Ser mozzarella, Kurczak grillowany, Czosnek świeży, Pesto, Grzyby leśne, karmelizowana cebula|31.45 
Salmone|Sos pomidorowy łagodny, Ser mozzarella, Oregano, Szpinak liście, Pomidor koktajlowy, Łosoś wędzony|31.45 
Calzone capri|sos pomidorowy, ser, szynka, pieczarki, cebula, tymianek|27.71 
Calzone crimini|sos pomidorowy, ser, kurczak, szpinak, brokuł, cukinia, ser feta, oregano|27.71 
Makaron spaghetti z lososiem i pomidorkami cherry|Makaron Spaghetti, łosoś wędzony, pomidorki cherry, rucola, brokuł, czosnek, pieprz kolorowy, oliwa.|22.90 
Makaron tagliatelle z krewetkami|Makaron Tagliatelle z krewetkami smażonymi na maśle z czosnkiem, podlewane białym winem z dodatkiem natki pietruszki, papryczką chili, doprawione świeżo zmielonym kolorowym pieprzem.|26.90 
Makaron spaghetii z czosnkiem chili  i oliwą|makaron spaghetti ze świeżym czosnkiem, papryczką chili, pietruszką i oliwą extra virgin|19.90 
Makaron spaghetti bolognese|Makaron spaghetti z tradycyjnym sosem bolońskim, wołowiną, soczystymi pomidorami, czosnkiem, warzywami, parmezanem.|20.90 
Makaron verdure|Makaron penne z kawałkami brokuł, bakłażana, czosnku, cukinii, oliwek czarnych, cebuli czerwonej, sosu pomidorowego pelati, pietruszki, parmezanu, oliwy extra virgin oraz przypraw.|21.90 
Makaron carbonara|Makaron spaghetti z kawałkami boczku, cebuli z dodatkiem aromatycznych ziół i parmezanu, zaciągnięty śmietaną.|21.90 
Makaron spaghetti a'la amatriciana|Makaron spaghetti z tradycyjnym sosem pomidorowym pelati, smażonym boczkiem, płatkami chili, czerwoną cebulą, pietruszką i parmezanem.|22.90 
Makaron penne z kurczakiem cukinią i brokułami|Makaron penne w lekkim sosie śmietanowym z kawałkami kurczaka, cebuli, cukinii oraz brokuł, doprawiony estragonem i parmezanem.|22.90 
Makaron penne spinaci|Makaron penne w lekkim sosie śmietanowym z kawałkami kurczaka, świeżym szpinakiem, gorgonzolą, czosnkiem, parmezanem oraz przyprawami.|23.90 
Makaron z bakłażanem i orzeszkami pini|Makaron tagliatelle z bakłażanem, czosnkiem, orzeszkami pini, pomidorkami koktajlowymi, świeżą bazylią, parmezanem, oliwą extra virgin oraz przyprawami.|23.90 
Makaron tagliatelle z kurczakiem suszonymi pomidorami i pesto|Makaron tagliatelle z grillowanym kurczakiem, pesto, suszonymi pomidorami, czosnkiem, sosem sojowym, parmezanem, oraz ziarnami słonecznika.|24.90 
